__time,/cable_length/data,/hoist_motor_voltage/data,/sway_angle/data,/trolley_motor_voltage/data,/trolley_position/data
1717493134.986579,,,,0.000000000,
1717493134.993419,,0.000000000,,,
1717493135.000411,,,,,0.000000000
1717493135.002884,0.374413192,,,,
1717493135.002912,,,-0.280150741,,
1717493135.017440,,,,0.000000000,
1717493135.025416,,0.000000000,,,
1717493135.032447,,,,,0.000000000
1717493135.036438,0.374426425,,,,
1717493135.036470,,,-0.257407457,,
1717493135.049435,,,,0.000000000,
1717493135.057450,,0.000000000,,,
1717493135.063448,,,,,0.000000000
1717493135.069353,0.374436110,,,,
1717493135.069390,,,-0.235131159,,
1717493135.079510,,,,0.000000000,
1717493135.085528,,0.000000000,,,
1717493135.092494,,,,,0.000000000
1717493135.103665,0.374486685,,,,
1717493135.103704,,,-0.213539675,,
1717493135.108424,,,,0.000000000,
1717493135.114406,,0.000000000,,,
1717493135.120397,,,,,0.000000000
1717493135.136139,0.374485224,,,,
1717493135.136182,,,-0.185059190,,
1717493135.138425,,,,0.000000000,
1717493135.145475,,0.000000000,,,
1717493135.151414,,,,,0.000000000
1717493135.168442,,,,0.000000000,
1717493135.169324,0.374499023,,,,
1717493135.169342,,,-0.147860587,,
1717493135.174430,,0.000000000,,,
1717493135.181449,,,,,0.000000000
1717493135.197504,,,,0.000000000,
1717493135.202824,0.374505550,,,,
1717493135.202848,,,-0.119937822,,
1717493135.203362,,0.000000000,,,
1717493135.211417,,,,,0.000000000
1717493135.228524,,,,0.000000000,
1717493135.235947,0.374496937,,,,
1717493135.235976,,,-0.094003662,,
1717493135.236428,,0.000000000,,,
1717493135.242388,,,,,0.000000000
1717493135.260534,,,,0.000000000,
1717493135.268510,,0.000000000,,,
1717493135.270995,0.374504536,,,,
1717493135.271016,,,-0.068859212,,
1717493135.275383,,,,,0.000000000
1717493135.292514,,,,0.000000000,
1717493135.298172,0.374513030,,,,
1717493135.298198,,,-0.061606571,,
1717493135.298398,,0.000000000,,,
1717493135.305400,,,,,0.000000000
1717493135.322532,,,,0.000000000,
1717493135.329557,,0.000000000,,,
1717493135.331405,0.374514073,,,,
1717493135.331435,,,-0.046510115,,
1717493135.336463,,,,,0.000000000
1717493135.352510,,,,0.000000000,
1717493135.358450,,0.000000000,,,
1717493135.365490,,,,,0.000000000
1717493135.367672,0.374515444,,,,
1717493135.367691,,,-0.040516626,,
1717493135.381574,,,,0.000000000,
1717493135.387600,,0.000000000,,,
1717493135.395511,,,,,0.000000000
1717493135.402236,0.374513775,,,,
1717493135.402269,,,-0.043533612,,
1717493135.411565,,,,0.000000000,
1717493135.417488,,0.000000000,,,
1717493135.424469,,,,,0.000000000
1717493135.436065,0.374524742,,,,
1717493135.436096,,,-0.046888504,,
1717493135.441496,,,,0.000000000,
1717493135.448506,,0.000000000,,,
1717493135.455509,,,,,0.000000000
1717493135.469338,0.374552459,,,,
1717493135.469375,,,-0.058704723,,
1717493135.473492,,,,0.000000000,
1717493135.479479,,0.000000000,,,
1717493135.486640,,,,,0.000000000
1717493135.500944,0.374595881,,,,
1717493135.500978,,,-0.061776605,,
1717493135.507470,,,,0.000000000,
1717493135.532312,0.374591678,,,,
1717493135.532346,,,-0.082612425,,
1717493135.539480,,0.000000000,,,
1717493135.564244,0.374606431,,,,
1717493135.564275,,,-0.085808493,,
1717493135.565494,,,,,0.000000000
1717493135.581548,,,,0.000000000,
1717493135.591565,,0.000000000,,,
1717493135.598503,0.374608427,,,,
1717493135.598530,,,-0.078709289,,
1717493135.602495,,,,,0.000000000
1717493135.618566,,,,0.000000000,
1717493135.629567,,0.000000000,,,
1717493135.630265,0.374626189,,,,
1717493135.630293,,,-0.087220818,,
1717493135.643611,,,,,0.000000000
1717493135.653618,,,,0.000000000,
1717493135.663795,0.374615282,,,,
1717493135.663829,,,-0.096052900,,
1717493135.664490,,0.000000000,,,
1717493135.681607,,,,,0.000000000
1717493135.691641,,,,0.000000000,
1717493135.700126,0.374599010,,,,
1717493135.700177,,,-0.095803425,,
1717493135.701567,,0.000000000,,,
1717493135.719761,,,,,0.000000000
1717493135.730582,,,,0.000000000,
1717493135.731528,0.374614924,,,,
1717493135.731548,,,-0.069263317,,
1717493135.744660,,714.000000000,,,
1717493135.755574,,,,,0.000000000
1717493135.765804,0.374614596,,,,
1717493135.765846,,,-0.075255692,,
1717493135.768528,,,,0.644999981,
1717493135.782639,,680.000000000,,,
1717493135.792602,,,,,0.000000000
1717493135.798613,0.374584645,,,,
1717493135.798646,,,-0.021941114,,
1717493135.802564,,,,1.246000051,
1717493135.815555,,608.000000000,,,
1717493135.825580,,,,,0.002055556
1717493135.832876,0.374583781,,,,
1717493135.832910,,,0.040438488,,
1717493135.835520,,,,1.768000007,
1717493135.850616,,665.000000000,,,
1717493135.860627,,,,,0.004166667
1717493135.867442,0.374603808,,,,
1717493135.867479,,,0.128753006,,
1717493135.873573,,,,2.358999968,
1717493135.883551,,665.000000000,,,
1717493135.893603,,,,,0.006055556
1717493135.902821,0.374624252,,,,
1717493135.902852,,,0.234054044,,
1717493135.904579,,,,2.930000067,
1717493135.919637,,655.000000000,,,
1717493135.929577,,,,,0.008055556
1717493135.936221,0.374558359,,,,
1717493135.936252,,,0.355757684,,
1717493135.940563,,,,3.502000093,
1717493135.950550,,601.000000000,,,
1717493135.960625,,,,,0.009500000
1717493135.968539,0.374540687,,,,
1717493135.968575,,,0.485573351,,
1717493135.970628,,,,4.018000126,
1717493135.985679,,658.000000000,,,
1717493135.995628,,,,,0.011222222
1717493135.999471,0.374552459,,,,
1717493135.999501,,,0.606114507,,
1717493136.005688,,,,4.593999863,
1717493136.015650,,777.000000000,,,
1717493136.026369,,,,,0.012833334
1717493136.033519,0.374536276,,,,
1717493136.033571,,,0.742710650,,
1717493136.035573,,,,5.297999859,
1717493136.051675,,781.000000000,,,
1717493136.061696,,,,,0.015777778
1717493136.066659,0.374503225,,,,
1717493136.066686,,,0.852435410,,
1717493136.071648,,,,6.008999825,
1717493136.082695,,790.000000000,,,
1717493136.093659,,,,,0.018999999
1717493136.098639,0.374405384,,,,
1717493136.098670,,,0.959758639,,
1717493136.103583,,,,6.723999977,
1717493136.113598,,604.000000000,,,
1717493136.123614,,,,,0.022666667
1717493136.131034,0.374359369,,,,
1717493136.131067,,,1.091643333,,
1717493136.134586,,,,7.232999802,
1717493136.147644,,749.000000000,,,
1717493136.158677,,,,,0.026000001
1717493136.166703,0.374338686,,,,
1717493136.166764,,,1.222236037,,
1717493136.168624,,,,7.743000031,
1717493136.183749,,645.000000000,,,
1717493136.193665,,,,,0.029444445
1717493136.203273,0.374309242,,,,
1717493136.203792,,,1.342762589,,
1717493136.203812,,,,8.302000046,
1717493136.217650,,684.000000000,,,
1717493136.228637,,,,,0.032555554
1717493136.234756,0.374274790,,,,
1717493136.234780,,,1.420444727,,
1717493136.238607,,,,8.906999588,
1717493136.252689,,684.000000000,,,
1717493136.263696,,,,,0.035611112
