__time,/cable_length/data,/hoist_motor_voltage/data,/sway_angle/data,/trolley_motor_voltage/data,/trolley_position/data
1717494492.717763,,,,0.000000000,
1717494492.720805,0.424333423,,,,
1717494492.720828,,,-0.035877947,,
1717494492.725669,,0.000000000,,,
1717494492.732665,,,,,0.000000000
1717494492.749733,,,,0.000000000,
1717494492.754498,0.424330324,,,,
1717494492.754515,,,-0.037713360,,
1717494492.756657,,0.000000000,,,
1717494492.763643,,,,,0.000000000
1717494492.779788,,,,0.000000000,
1717494492.785752,,0.000000000,,,
1717494492.785911,0.424325973,,,,
1717494492.785923,,,-0.013825118,,
1717494492.792707,,,,,0.000000000
1717494492.809800,,,,0.000000000,
1717494492.816721,,0.000000000,,,
1717494492.820111,0.424318492,,,,
1717494492.820136,,,0.010148256,,
1717494492.823649,,,,,0.000000000
1717494492.841797,,,,0.000000000,
1717494492.847735,,0.000000000,,,
1717494492.853721,,,,,0.000000000
1717494492.854529,0.424286515,,,,
1717494492.854541,,,0.034260720,,
1717494492.870772,,,,0.000000000,
1717494492.878728,,0.000000000,,,
1717494492.885747,,,,,0.000000000
1717494492.886595,0.424304277,,,,
1717494492.886623,,,0.045865200,,
1717494492.903823,,,,0.000000000,
1717494492.909688,,0.000000000,,,
1717494492.916742,,,,,0.000000000
1717494492.920033,0.424276680,,,,
1717494492.920058,,,0.044789877,,
1717494492.934781,,,,0.000000000,
1717494492.941758,,0.000000000,,,
1717494492.947667,,,,,0.000000000
1717494492.953667,0.424246013,,,,
1717494492.953692,,,0.044097058,,
1717494492.964719,,,,0.000000000,
1717494492.971810,,0.000000000,,,
1717494492.978739,,,,,0.000000000
1717494492.986660,0.424239814,,,,
1717494492.986689,,,0.043840695,,
1717494492.995772,,,,0.000000000,
1717494493.002758,,0.000000000,,,
1717494493.010706,,,,,0.000000000
1717494493.020152,0.424282134,,,,
1717494493.020197,,,0.056866486,,
1717494493.027705,,,,0.000000000,
1717494493.034734,,0.000000000,,,
1717494493.040771,,,,,0.000000000
1717494493.054358,0.424251944,,,,
1717494493.054403,,,0.044388231,,
1717494493.057787,,,,0.000000000,
1717494493.064688,,0.000000000,,,
1717494493.074816,,,,,0.000000000
1717494493.087410,0.424248278,,,,
1717494493.087443,,,0.057910666,,
1717494493.091726,,,,0.000000000,
1717494493.098710,,0.000000000,,,
1717494493.107815,,,,,0.000000000
1717494493.120009,0.424270213,,,,
1717494493.120046,,,0.046167646,,
1717494493.125798,,,,0.000000000,
1717494493.151977,0.424294740,,,,
1717494493.152014,,,0.047443297,,
1717494493.164773,,0.000000000,,,
1717494493.187856,0.424273878,,,,
1717494493.187893,,,0.035814553,,
1717494493.191763,,,,,0.000000000
1717494493.205796,,,,0.000000000,
1717494493.216800,,0.000000000,,,
1717494493.218667,0.424249351,,,,
1717494493.218683,,,0.036946759,,
1717494493.230766,,,,,0.000000000
1717494493.240793,,,,0.000000000,
1717494493.251788,,0.000000000,,,
1717494493.252148,0.424246758,,,,
1717494493.252191,,,0.025557505,,
1717494493.267871,,,,,0.000000000
1717494493.277837,,,,0.000000000,
1717494493.284882,0.424247503,,,,
1717494493.284914,,,0.014092583,,
1717494493.287709,,0.000000000,,,
1717494493.301875,,,,,0.000000000
1717494493.310821,,,,0.000000000,
1717494493.317963,0.424202859,,,,
